id,name,parent,copyFrom
1,AWP39-3C,,
1.1,PART B,1,
1.1.1,APPM,1.1,
1.1.1.1,INS,1.1.1,
1.1.1.1.1,SPE,1.1.1.1,
1.1.1.1.1.1,PDF,1.1.1.1.1,
1.1.1.1.1.2,Native,1.1.1.1.1,
1.1.2,AWP23M,1.1,
1.1.2.2,ELE,1.1.2,
1.1.2.2.2,CAL,1.1.2.2,
1.1.2.2.2.3,PDF,1.1.2.2.2,
1.1.2.2.2.4,Native,1.1.2.2.2,
1.1.2.2.3,LIS,1.1.2.2,
1.1.2.2.3.5,PDF,1.1.2.2.3,
1.2,PART A,1,
1.2.3,AWP23M,1.2,
1.2.3.3,ELE,1.2.3,
1.2.3.3.4,LIS,1.2.3.3,
1.2.3.3.4.6,Native,1.2.3.3.4,
1.2.3.4,INS,1.2.3,
1.2.3.4.5,BLD,1.2.3.4,
1.2.3.4.5.7,PDF,1.2.3.4.5,
1.2.3.4.5.8,Native,1.2.3.4.5,
1.2.4,GL39B,1.2,
1.2.4.5,PLR,1.2.4,
1.2.4.5.6,RPT,1.2.4.5,
1.2.4.5.6.9,Native,1.2.4.5.6,
2,BUN2-3D,,
2.3,PART A,2,
2.3.5,AWP39,2.3,
2.3.5.6,TEL,2.3.5,
2.3.5.6.7,SPE,2.3.5.6,
2.3.5.6.7.10,Native,2.3.5.6.7,
2.3.6,GL39,2.3,
2.3.6.7,PLR,2.3.6,
2.3.6.7.8,MTO,2.3.6.7,
2.3.6.7.8.11,PDF,2.3.6.7.8,
2.3.6.8,PIP,2.3.6,
2.3.6.8.10,RPT,2.3.6.8,
2.3.6.8.10.13,PDF,2.3.6.8.10,
2.3.6.8.9,MTO,2.3.6.8,
2.3.6.8.9.12,Native,2.3.6.8.9,
2.3.6.9,INS,2.3.6,
2.3.6.9.11,RPT,2.3.6.9,
2.3.6.9.11.14,Native,2.3.6.9.11,
2.3.7,GL39B,2.3,
2.3.7.10,PLR,2.3.7,
2.3.7.10.12,MTO,2.3.7.10,
2.3.7.10.12.15,PDF,2.3.7.10.12,
2.3.7.10.12.16,Native,2.3.7.10.12,
2.3.7.10.13,RPT,2.3.7.10,
2.3.7.10.13.17,PDF,2.3.7.10.13,
2.3.7.10.13.18,Native,2.3.7.10.13,
